,Diputado,Anio,Doc,Folio,Fecha,Asesor,Detalle,Monto
0,Jorge Alessandri Vergara,2021,,,,FUNDACION JAIME GUZMAN,"ASISTENCIA PRESENCIAL O TELEMÁTICA DE PROFESIONALES DEL ÁREA LEGISLATIVA DE LA FUNDACIÓN A LAS SESIONES DE LAS COMISIONES LEGISLATIVAS PERMANENTES EN QUE PARTICIPEN LOS DIPUTADOS CONTRATANTES, CON EL OBJETO DE ASESORARLOS Y APORTARLES INFORMACIÓN TÉCNICA RELEVANTE, PREPARAR MINUTAS DE ANÁLISIS Y COLABORAR EN LA REDACCIÓN DE INDICACIONES SOBRE LOS PROYECTOS DE LEY DEBATIDOS EN ESAS COMISIONES. ASÍ TAMBIÉN SE PRESTARÁ ASESORÍA TÉCNICA JURÍDICA EN LAS COMISIONES INVESTIGADORAS Y EN LOS REQUERIMIENTOS AL TRIBUNAL CONSTITUCIONAL EN QUE PARTICIPEN O QUE PRESENTEN LOS DIPUTADOS CONTRATANTES. ASIMISMO, SE REALIZARÁN MINUTAS DE CONTINGENCIA PARA EL RESPALDO TÉCNICO DE REPORTAJES EN LA PRENSA NACIONAL. ADICIONALMENTE, SE DISTRIBUIRÁ COPIA DE LOS INFORMES DENOMINADOS “RESUMEN A LA SALA”, QUE DESCRIBEN Y ANALIZAN SUCINTAMENTE LOS PRINCIPALES PROYECTOS DE LEY QUE SEAN PUESTOS EN TABLA PARA SU VOTACIÓN EN LA SALA DE LA CÁMARA, A TODOS LOS DIPUTADOS CONTRATANTES.",6000000
1,Jorge Alessandri Vergara,2020,,,,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA"" (ENERO)INFORMES Y MINUTAS RELATIVAS A LA AGENDA SOCIAL Y CONSTITUCIONAL ACTUALMENTE EN TRAMITACIÓN EN EL PARLAMENTO. (FEBRERO)",1000000
2,Jorge Alessandri Vergara,2020,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA,5000000
3,Jorge Alessandri Vergara,2019,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA.BREVE ANÁLISIS Y SUGERENCIA DE VOTACIÓN DE LOS PROYECTOS DE RESOLUCIÓN QUE SE PRESENTAN EN LA SALA DE LA CÁMARA DE DIPUTADOS.ASESORÍA PRESENCIAL EN LAS COMISIONES EN LAS QUE EL SOLICITANTE PARTICIPA.,500000
4,Jorge Alessandri Vergara,2019,,6210,09 jan 2019,FUNDACION JAIME GUZMAN,"REDACCIÓN DE OFICIOS, INTERVENCIONES Y ASESORÍA EN MATERIAS PROPIAS DE LA FUNCIÓN PARLAMENTARIA.",250000
5,Jorge Alessandri Vergara,2019,,,,FUNDACION JAIME GUZMAN,"REDACCIÓN DE OFICIOS, INTERVENCIONES Y ASESORÍA EN MATERIAS PROPIAS DE LA FUNCIÓN PARLAMENTARIA.",2500000
6,Jorge Alessandri Vergara,2019,,6211,09 jan 2019,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA""",5000000
7,Jorge Alessandri Vergara,2018,,,,FUNDACION JAIME GUZMAN,PROGRAMAS DE GOBIERNO Y PROYECTOS DE LEY PENDIENTES EN LA COMISIÓN DE COSTITUCIÓN.,500000
8,Jorge Alessandri Vergara,2018,,5629,16 mar 2018,FUNDACION JAIME GUZMAN,"""RESUMEN A LA SALA""",500000
9,Jorge Alessandri Vergara,2018,,,,FUNDACION JAIME GUZMAN,RESUMEN A LA SALA,1000000
10,Jorge Alessandri Vergara,2018,,5807,01 apr 2018,FUNDACION JAIME GUZMAN,INFORMES RESUMEN A LA SALA,3000000
11,René Alinco Bustos,2021,,,,CRISTIAN VILCHES ESCOBAR,"Asesorar en materias propias de las comisiones en que participa el solicitante Diseño , estudio y elaboración de mociones ,indicaciones , oficios y minutas Seguimiento revisión e informes sobre proyectos de ley en tramite y propuestas en materia de ley en relación a subsidios habitacionales de acuerdo a los distintos tipos de familia , atribuciones de los municipios y distribución de recursos del nivel central y en materias de propuestas de ley regionales con atribuciones1 concretas en planes de descontaminación",3159525
12,René Alinco Bustos,2021,,,,CRISTIAN VILCHES ESCOBAR,asesoría en materias propias del parlamentario en comisiones y trabajo de sala Información para elaborar propuesta de nuevas atribuciones de los municipios y las propuestas de los constituyentes en relacion a este tema,1053175
13,René Alinco Bustos,2021,,,,RONALD BENJAMÍN GALLARDO DUARHTT,"asesoría, virtual , informes y orientación en materias propias de la labor parlamentaria de coyuntura y en materias de interés de la Region en gobernanza municipal , coordinación de labor parlamentaria con constituyentes y el territorio y análisis en desarrollo del proceso de instalación e implementacion de gobernación regional",3159525
14,René Alinco Bustos,2021,,6442,01 jan 2021,RONALD BENJAMÍN GALLARDO DUARHTT,"Realizar asesoría telemática y en informes en materias de interés del parlamentario en temas de escenarios posibles de reducción de periodo parlamentario y presidencial en caso que la constituyente lo proponga y se apruebe, hacer propuestas en temas valóricos como la eutanasia y la legalización de la marihuana, evaluar impacto y opinión del movimiento popular en los cambios electorales y políticos del ultimo año y posibles escenarios",3159525
15,René Alinco Bustos,2020,,,,RONALD BENJAMÍN GALLARDO DUARHTT,"Análisis de diversos mecanismos propuesto para proceso de Plebiscito 2020 y propuestas de formas de elección y representación en cada región buscando la representatividad de cada región , etnias y localidades",1030000
16,René Alinco Bustos,2020,,6360,01 jan 2020,RONALD BENJAMÍN GALLARDO DUARHTT,"Elaboración de propuesta para trabajo de campaña de Plebiscito 2020 , diseño de campaña territorial y de comunicación en el distrito",1030000
17,René Alinco Bustos,2020,,,,RONALD BENJAMÍN GALLARDO DUARHTT,"Análisis de la participación de la sociedad en tiempos de estallido social y coronavirus , como evoluciona la sociedad en momentos de crisis",2060000
